stars,comment
5 ,"The iPhone design is good and the camera quality is awesome. You can also take pictures in wide angles and the image quality is awesome.Phone got delivered at 9am on 28th September (I pre-order it on 27th September at 3am in the morning), I got my phone before the delivery date with nice and secured packaging.The overall look of the phone is premium and face unlocking is fast. I grabbed this phone with HDFC 6K Instant Discount Offer at Just 64K (128 GB Variant).Cons:1. The phone is great but if you use ""in the box"" accessories like ""EarPods with Lighting Connector"", then you might feel a little pain in your ears.2. The phone comes with 5W charger which charge your phone slowly. I recommend you to prefer using 18W charger.Well, I've never tried the iPhone before and I'm using this for the first time (Yes, I'm already using other apple products like MacBook Air & Pro).But the product is great and I'm just lovin it."
5 ,"This being my second Apple device. No, I haven't sold my kidney as I got this for about 58K. I have been an avid Android Fanboy using 1+ as my daily driver for the past 5 years. The switch using move to iOS and the entire transition using Drive, Photos etc.. It has been seamless. I may miss a thing or two about 1+ with what a stock Android would offer. Couple of my colleagues argued how good the latest 1+ phones are. Two things that 1+ will never be good at. Photography and Intermittent lag. Yes, a phone with 12 Gigs of ram lags!Now, off to the device.ProsThe device's build quality is amazing. The detail given in to every tiny little thing should be noted. Even the Sim tray is made out of metal.Speakers sound better than my previous phone.A couple of you might argue about LCD with lower resolution on the device. I certainly cannot differentiate that though. Color blind maybe!OS - There's no other mobile OS that is this speedy, updated on time basis and supports device for 5 long years. Yeah, you can root your phone and rock new Lineage OS on your Droid but the circumstances of rooting, Magisk cannot help Banking apps work.Camera - There are no other camera phones that are this good. Night mode is amazing. Such low light pictures turn out be so good. Note Huawei phones no longer have Google services yes you can sideload Play Store but that's still pain the arse. Next Pixel isn't going to be cheap either.ConsRemember an iPhone is always treated as an asset than a phone. Ask someone who has dropped his or her phone on a hard surface and the pain that it takes to have it repaired or replaced.Couple of them have pointed out that the device is a bit thick. Yes it is. Honestly slim phones cannot have more juice within. You have to sacrifice either of them.No 3.5MM means you can't charge and listen to music i.e. move on to wireless headphones.Overall an amazing phone that's worth every penny. And a phone that I'd be using for the next 5 years for sure just like my 1+ One The Legend. Electronic goods are always depreciating unlike Gold or Land and fits the needs of checking messages and making calls is all you need."
5 ,"









  
  
    
  This phone is bit big to hold but good for Android users.As per the design review, the phone is excellent with great camera both normal and wide angle, a good sound quality and the replicate feature was awesome to to copy data from old iPhone to your new iPhone.

  
"
5 ,"I bought the iPhone 11 64gb red and I absolutely love it. The design is insanely good.Lot of reviews say that they received a damaged phone but that is simply not true!!The truth is the phone comes with an outdated iOS and you must update it. Or else your camera won’t be running normally or the video quality won’t be more than 360p( as it was in my case). But once you do a software update, all the bugs gets fixed.Also a lot of them seem to say that the phone gets overheated. I thought mine was getting overheated too. But there’a a difference between it being warm and overheating. The truth is it gets warm if you do intense processing. ( The software update took care of that too and I don’t know how).So don’t worry about buying a iPhone here. A lot of them are freaking out that their phones aren’t functioning properly and they were too quick to write a bad review. Truth is a software update fixes all these people’s complaints."
5 ,"









  
  
    
  Awesome phone great camera quality .

  
"
3 ,"The iphone 11 is a good phone every thing is fine but in this budget all the phones are better than it. The main problem is the battery it is long if you dont play any games , if you use the phone for using social media and camera you can go for it .But ya another problem is the refresh rate if you dont know refresh rate it is screen smoothness . it has 60 hz of refresh rate and all the phones in budget have 120 hz to 144 hz . And the build quality is good but if it one times fall from your hand it is gone . Even from a small distance you can get small visual small cracks"
4 ,"Been almost 10 months I have been using the iPhone 11 128 GB. Apple is known as one of the premium phone manufacturers who do not compromise on quality, user experience and simplicity (company claims). It is certain that the Apple products have a brand appeal in the Indian market. This appeal allows them to charge a surplus from the customers for their products. Opinions differ if this is justified. For me, I like to evaluate the phone’s features with the cost.The build quality And design of this phone is absolutely fantastic! Curves at the right places, the tactile buttons, it just screams premium. When you pick up the phone, you feet the weight. I came into this phone from a Samsung galaxy and the first thing I notice is the disparity in the weight. This is probably due to the LCD screen on the former as compared to OLED in the galaxy series. The screen on Iphone 11is a “Liquid Retina display”; fancy term for a highly polished, well optimised LCD screen. It is a good screen. It is just slightly above 720p resolution but in everyday activities most people won’t notice it. I noticed it. For me, the screen is a major downside of this phone. You are shelling out almost 70000 ₹, the customer deserves at least a 1080p (full HD) screen. Today when most of the “budget” phones come with 1080p screen, the step back by Apple is definitely not appreciated. It is also necessary to mention, I prefer OLED screen over LCD due to their deep blacks and high contrast ratio. But surprisingly, this LCD screen on the iPhone is better than a few OLED screens I compared it to!(albeit comparing at the same resolution)- Xaomi note series, vivo and oppo. Only Samsung screens were ridiculously amazing even in their M series phones.Another positive of iPhone is the amazing battery life. I am a very heavy user with lots of videos, streaming music all the time, Bluetooth on, WiFi on, location on, browsing, multiple calls daily, video conference meetings, push email- official and personal, light browsing on social media sites and a lot of photos/videos. This beast survives the whole day! But the thing that irks me is the puny 5 watt charger in the box. It takes close to 3 h to charge from 10% to 96%! I suggest you buy a 12 watt charger that is sold separately. Apple should have provided a 12 watt charger in the box at the price point.Another frustrating part of the Apple ecosystem is the iCloud storage that essentially is required if you want to back up phone/photos etc. this costs 79₹ for 50GB PER MONTH. Apple pulls you into their ecosystem with their services, which I must say are excellent. The Apple ecosystem is stress free and just seamless. The phrase “it just works” really works here. I have an MacBook Pro and the iPhone works really well with my laptop allowing me to answer calls, messages right from my laptop.The one feature I wasn’t too sure of, which grew on me until the start of pandemic, is the face recognition. It’s safe, secure and absolutely amazing. It works for all authentication requirements of the phone and is beautiful. I understand now the appeal of face recognition and the “soli” chip on the google pixel4. Btw, the pandemic and the accompanying masks have created a hurdle for the face recognition. Today I wonder if the fingerprint would have been better than the fancy face recognition.One of my favourite is the cameras! It’s Apple! They made their name and reputation on cameras. I won’t say too much on this topic as it’s well known. Only google pixel can compete in the photos department but they iPhone is definitely the video kings.Another key area in which Apple has made their name is the security, encryption and privacy policy. This is one of the major reasons for their premium price tags.I give this phone a very enthusiastic 4 stars. I wish they improve the screen at this price point to at least a 1080p and include a respectable charger in the box. I have not talked about the OS as I believe iOS or android is a personal choice and I am reviewing the key features of the iPhone and it’s hardware."
5 ,Pros:Camera quality is 09/10.Display 09/10Battery life 10/10Heating issue : I face no heating issueProduct genuineess : Checked on apple site it is original.Cons: charging speed very slow. Charger should be provided atleast 18 watt.Aneroid user face little bit difficulty to use IOS interface.
5 ,"From the last 3 months, i was waiting for the best possible phone in every aspect. I got to know about iphone 11 being one of the best selling apple products. Watched lots of videos on youtube related to unboxing, reviews. Especially i was looking for cons rather than pros. I got to know that the display not being oled is not that good. Then i compared it with iphone 11 pro and i got to know that build and display is only better in pro model, except that everything is same. I came to a decision of buying the iphone 11 and purchased it on prime day sale on 62k with discounts. From the last 3 weeks have been using iphone 11 as my primary phone and i can say it has been the best decision of my life. ios is buttery smooth, its 120hz touch response rate gives you a 90hz refresh rate feeling. No lag whatsoever. Ram management is superb. Sound quality is topline having that loud stereo speakers. Though i can say the speakers are not as loud as what i had seen in asus rog 3(being a reviewer on youtube) i get review units. Next the battery life is as good as a 5000mah android phone. It can easily last for a day and a half with moderate usage including gaming. The display might be not that vibrant and saturated like oled panels but its super bright and the blacks are much richer than what you see on other lcd panels(afterall its apple, you get what you pay). Finally the camera makes you feel like so great. The photos might not look that good in phone but transfer it to your pc, you will see the clarity of the camera. Video quality is superb. So overall a must buy if you are planning to invest in a phone which can last for the upcoming 5yrs. Hope my review helps ppl still deciding whether to buy iphone 11 or not."
5 ,"After 3 years with iPhone 7 I finally decided to take an upgrade to iPhone 11, and I must say, that it’s totally a value for money! Have been using it continuously since morning, it’s been 5-6 hours of usage and the battery has come down from 100 to 75% only!If you’re looking for a high end and value for money smartphone, this is it!There are a few bugs however, but they’re iOS bugs which’ll be sorted soon I’m sure with upcoming updates!"
